Term,Definition
"How many interleavings do 2 threads with k statements each have?","(2k choose k) — drawing without replacement."
"How do you prove an interleaving is impossible?","Show what must happen before what; via transitivity you reach a contradiction (a cycle when drawn)."
"What does parallel behaviour via shared memory depend on?","Hardware; runtime system; and programming language."
"Why can sequential code break when run in parallel?","Compiler; CPU and memory reorder instructions for performance; correct sequentially but may break under concurrency."
"Are modern architectures (x86; AMD64; ARM) sequentially consistent?","No — they are NOT sequentially consistent; reordering can occur."
"Two slow fixes for bugs from CPU memory reordering","synchronized (slow) and volatile (slow)."
"What does the Java Memory Model (JMM) answer?","Which guarantees you have about the order of execution across threads."
"JMM: Program Order (PO)","Order of statements on a single thread in isolation; total order per thread but only partial order across threads."
"JMM: Synchronization Actions (SA)","Critical actions needing a fixed order: read/write of volatile; lock/unlock monitor; first/last/start/terminate action of a thread."
"JMM: Synchronization Order (SO)","Global total order over all synchronization actions; every thread agrees on it; a volatile read/write makes prior updates visible."
"JMM: Synchronizes-with (SW)","Handshake where two threads touch the same sync action; a volatile write synchronizes-with every later volatile read of that variable."
"JMM: Happens-Before (HB)","Transitive closure of program order and synchronizes-with; everything A did before the handshake is visible to B."
"When is a read HB-consistent?","It sees the most recent write in its HB chain; OR any unordered write (no HB relation)."
"When is a read HB-inconsistent?","It sees an outdated write (already overwritten in HB chain); OR a future write (one that happens-before the read)."
"Three requirements of a critical section / lock","1) Mutual exclusion; 2) Freedom from deadlock; 3) Freedom from starvation."
"Mutual exclusion in a state-space diagram","There is no state containing both p3 and q3 (both in critical section)."
"No deadlock in a state-space diagram","There is no state without an outgoing arrow."
"No livelock in a state-space diagram","There is no infinite cycle that skips the critical section; from every node a path reaches the CS."
"Freedom from individual starvation (state diagram)","Every thread that wants the critical section eventually gets it."
"Memory needed to build a lock for n processes","At least n variables; O(n) memory."
"Software-lock pitfall with volatile arrays","volatile on an array only makes the pointer atomic; the elements are NOT volatile. Use AtomicIntegerArray."
"Fair + Deadlock-Free = ?","Starvation-free."
"Peterson lock idea","Set flag = interested; mark myself victim so the other goes first; wait while other is interested; enter CS; clear flag."
"Peterson lock properties","Correct and fair (for 2 threads)."
"Filter lock","Extension of Peterson to n threads; each level uses Peterson with one victim; filters until one thread reaches the CS."
"Filter lock properties","Mutual exclusion; deadlock-free; starvation-free; but NOT fair (no first-come-first-serve)."
"Bakery lock idea","Waiting room with drawn tickets: take a number one higher than the max outstanding; enter when your ticket is lowest; thread-ID breaks ties. It is fair."
"Atomic hardware operations","Test-and-Set (set 1 if currently 0); Compare-and-Swap (if memory == old; write new); Load-Linked/Store-Conditional (ARM)."
"How does a TAS lock work?","Threads spin doing TAS in a while loop; only one gets old value 0 and enters; needs a single memory location."
"Problem with a plain TAS lock","All threads constantly spam TAS on the same location; heavy bus traffic; slow."
"Backoff (exponential)","On failure sleep a random duration; double the expected wait each failure; reset once acquired; reduces simultaneous retries."
"TATAS lock","Test-and-Test-and-Set: first read the flag cheaply; only if it looks free attempt the TAS; else back off."
"How is deadlock detected?","The directed graph of thread/lock wait relations has a cycle (A waits B; B waits C; C waits A)."
"AtomicBoolean methods","get(); set(); compareAndSet(expect; update); getAndSet(newValue)."
